Gene Size,Cell Size,Percent,Time
500,20000,5.0,2.9417102336883545
500,30000,0.1,3.8633530139923096
500,30000,0.5,3.9652843475341797
500,30000,1.0,4.296585321426392
500,30000,10.0,5.206773042678833
500,30000,30.0,9.859393119812012
500,30000,5.0,4.398028135299683
500,40000,0.1,5.178002595901489
500,40000,0.5,5.219270944595337
500,40000,1.0,5.420515060424805
500,40000,10.0,6.742320775985718
500,40000,30.0,12.529423475265503
500,40000,5.0,6.087303400039673
500,50000,0.1,6.80807089805603
500,50000,0.5,6.819010972976685
500,50000,1.0,6.967095613479614
500,50000,10.0,8.623910427093506
500,50000,30.0,16.649274826049805
500,50000,5.0,7.765241622924805
1000,60000,0.1,15.156934022903442
1000,60000,0.5,15.808659076690674
1000,60000,1.0,15.459158897399902
1000,60000,10.0,21.03947925567627
1000,60000,30.0,38.18651628494263
1000,60000,5.0,18.942209243774414
2000,60000,0.1,29.131505966186523
2000,60000,0.5,32.12901997566223
2000,60000,1.0,31.4275324344635
2000,60000,10.0,41.007434368133545
2000,60000,30.0,78.75589108467102
2000,60000,5.0,35.55173110961914
3000,50000,1.0,39.76025605201721
3000,50000,10.0,51.1445369720459
3000,50000,30.0,96.0956084728241
3000,50000,5.0,45.96438217163086
3000,60000,0.1,43.80466437339783
3000,60000,0.5,45.43252992630005
3000,60000,1.0,47.00725817680359
3000,60000,10.0,59.78275179862976
3000,60000,30.0,119.14095783233643
3000,60000,5.0,53.9210159778595
5000,50000,0.1,62.22172141075134
5000,50000,0.5,65.03963446617126
5000,50000,1.0,65.86784195899963
5000,50000,10.0,82.59726572036743
5000,50000,30.0,165.95191740989685
5000,50000,5.0,74.36842942237854
500,60000,0.1,7.779103517532349
500,60000,0.5,7.89077353477478
500,60000,1.0,7.944228410720825
500,60000,10.0,10.02648138999939
500,60000,30.0,18.95663356781006
500,60000,5.0,8.402675867080688
5000,60000,0.1,75.7191174030304
5000,60000,0.5,76.01262950897217
5000,60000,1.0,79.34564280509949
5000,60000,10.0,100.16565799713135
5000,60000,30.0,194.99760913848877
5000,60000,5.0,88.82733225822449
10000,20000,0.1,56.211910247802734
10000,20000,0.5,52.015684366226196
10000,20000,1.0,53.42546892166138
10000,20000,10.0,67.28398084640503
10000,20000,30.0,132.70548820495605
10000,20000,5.0,58.83894062042236
20000,20000,0.1,117.11387920379639
20000,20000,0.5,108.79546785354614
20000,20000,1.0,113.63824200630188
20000,20000,5.0,125.16997480392456
7500,20000,0.1,38.166892766952515
7500,20000,0.5,38.315083503723145
7500,20000,1.0,39.34246325492859
7500,20000,10.0,50.14814472198486
7500,20000,30.0,97.79954195022583
7500,20000,5.0,47.67173480987549
